ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-8d611d,A-2e3bad,2023-02-08,2023-02-09,91,medium,125,3,f
T-2fa50a,A-b9f5b1,2023-02-10,2023-02-11,71,medium,17,4,f
T-e112be,A-34ea2f,2023-11-03,2023-11-04,58,urgent,74,4,f
T-4d29dc,A-5a92e7,2023-01-04,2023-01-05,64,urgent,147,,f
T-be7c14,A-34ea2f,2024-10-09,2024-10-10,56,low,77,,f
T-88aac2,A-c9bb3e,2023-12-09,2023-12-10,42,urgent,161,4,f
T-eecc2f,A-c9bb3e,2024-12-05,2024-12-05,56,high,73,,f
T-eb97d9,A-32fb14,2024-07-22,2024-07-22,87,urgent,115,,f
T-b123d2,A-32fb14,2024-09-05,2024-09-05,60,low,89,4,f
T-4db443,A-08e34e,2024-03-29,2024-03-30,73,low,15,,f
T-000c31,A-3ce5b8,2024-04-05,2024-04-05,9,urgent,65,,f
T-bf9878,A-3ce5b8,2024-11-15,2024-11-17,32,urgent,15,3,f
T-0217dd,A-484819,2023-02-05,2023-02-05,33,urgent,78,5,f
T-2968aa,A-016043,2024-12-11,2024-12-13,47,low,143,,f
T-9c0369,A-34ea2f,2023-09-24,2023-09-25,71,low,30,4,f
T-633a99,A-016043,2024-04-13,2024-04-13,60,high,63,,f
T-5cfb64,A-5a92e7,2024-08-15,2024-08-17,46,low,136,,f
T-7cb39d,A-3be56b,2023-12-22,2023-12-22,70,medium,32,3,f
T-008e20,A-b78bf8,2024-12-17,2024-12-19,69,urgent,94,3,f
T-d99655,A-712533,2024-11-26,2024-11-28,45,high,104,,f
T-b5076f,A-712533,2024-08-07,2024-08-09,21,medium,53,3,f
T-d5e980,A-22d9d2,2023-06-21,2023-06-21,73,low,137,4,f
T-fa9585,A-0a282f,2024-10-26,2024-10-26,64,medium,144,4,f
T-91b90d,A-e08cd3,2024-12-26,2024-12-26,7,high,109,4,f
T-b68fa5,A-e08cd3,2023-10-13,2023-10-13,64,medium,101,,f
T-fb59aa,A-e08cd3,2024-04-29,2024-04-29,32,high,96,,f
T-cee095,A-e08cd3,2023-04-23,2023-04-24,55,high,129,,f
T-0afa9f,A-e08cd3,2023-11-02,2023-11-03,11,low,79,,f
T-44cfed,A-592832,2023-12-02,2023-12-04,78,high,68,,f
T-3329cb,A-592832,2024-04-30,2024-04-30,47,low,123,5,f
T-ce9e96,A-7a0d69,2024-04-25,2024-04-25,76,high,22,5,f
T-36db9a,A-6a7c9d,2023-03-09,2023-03-11,73,high,125,5,f
T-93e27e,A-8bde0c,2023-08-06,2023-08-08,38,high,42,4,f
T-6c817f,A-6da850,2023-08-01,2023-08-03,25,urgent,69,,f
T-a0d060,A-9208f0,2023-01-04,2023-01-04,1,low,18,,f
T-3345a4,A-6da850,2024-12-21,2024-12-23,30,low,112,4,f
T-d890d5,A-6da850,2023-09-22,2023-09-22,-5,high,131,,f
T-452a96,A-2ebb4b,2024-04-05,2024-04-06,12,low,149,3,f
T-8c694d,A-883b7d,2024-05-24,2024-05-24,39,low,39,3,t
T-5f84c5,A-1f559b,2024-01-22,2024-01-24,51,high,28,4,f
T-f8b58d,A-ee42db,2023-01-16,2023-01-18,44,urgent,144,,f
T-219077,A-fb186e,2024-02-09,2024-02-10,48,medium,58,,f
T-2e5ba4,A-0be015,2024-12-05,2024-12-05,48,low,46,4,t
T-54e843,A-bb3bd4,2024-10-06,2024-10-06,49,medium,63,3,f
T-066714,A-b2225d,2024-04-11,2024-04-12,31,high,52,3,f
T-8001a4,A-c9bb3e,2023-05-08,2023-05-08,70,urgent,53,4,t
T-bbe374,A-3ce5b8,2024-01-15,2024-01-17,35,low,155,,f
T-50ad36,A-922109,2023-05-07,2023-05-08,84,medium,126,,f
T-6bd715,A-4e0e85,2024-05-14,2024-05-16,141,medium,129,,f
T-a3288b,A-098560,2024-12-28,2024-12-30,99,low,26,3,f
T-6cce32,A-659280,2024-06-12,2024-06-12,55,medium,176,4,f
T-61fc87,A-034368,2023-01-13,2023-01-15,85,medium,127,3,f
T-462ece,A-b9f5b1,2023-07-17,2023-07-19,31,low,50,3,t
T-b0edf2,A-7cfe77,2024-05-06,2024-05-07,60,medium,150,3,f
T-9bae5a,A-7cfe77,2024-04-14,2024-04-14,-11,urgent,176,5,f
T-0f1c67,A-78f02b,2024-10-09,2024-10-11,-29,low,51,4,f
T-64b0b8,A-533452,2023-09-27,2023-09-29,87,low,16,5,f
T-00fa83,A-9208f0,2023-04-01,2023-04-03,-2,low,6,,f
T-22842d,A-533452,2024-08-05,2024-08-05,88,high,66,3,f
T-804c6c,A-751bd4,2024-10-29,2024-10-30,43,medium,49,4,f
T-0024de,A-712f1c,2023-07-27,2023-07-28,21,high,74,,f
T-4d04b9,A-e43bf7,2024-07-08,2024-07-09,12,urgent,144,,f
T-d5e12f,A-0f3e88,2024-10-17,2024-10-17,15,urgent,93,4,f
T-dfce9a,A-4c56c9,2024-09-08,2024-09-09,13,medium,126,5,f
T-c59f77,A-6f8ad2,2024-11-30,2024-12-01,17,medium,8,,f
T-90f06d,A-94c3cd,2023-07-27,2023-07-27,24,medium,60,,f
T-30b537,A-2e4581,2023-09-09,2023-09-10,10,urgent,64,3,f
T-60242d,A-72799b,2024-01-29,2024-01-29,9,low,56,4,t
T-7119c9,A-b179bf,2023-08-27,2023-08-27,5,urgent,154,,f
T-98a84a,A-157070,2023-12-20,2023-12-21,10,low,26,,f
T-04457d,A-854864,2024-07-18,2024-07-20,5,medium,140,5,f
T-13f1b8,A-5b4ebb,2023-12-05,2023-12-06,20,low,121,5,f
T-f8e2c3,A-40a557,2024-03-01,2024-03-03,20,high,60,,f
T-4e7816,A-05f0e5,2024-10-03,2024-10-04,15,low,108,,f
T-0dea8b,A-671f31,2024-01-24,2024-01-26,12,medium,45,3,f
T-ca96ba,A-410e86,2024-04-28,2024-04-28,23,high,64,,f
T-ac0b69,A-ac9111,2024-03-02,2024-03-02,14,low,86,,f
T-4fb3f2,A-c62e55,2023-03-05,2023-03-07,20,medium,136,3,f
T-2b4423,A-158f4e,2023-12-07,2023-12-07,17,high,99,,f
T-b17401,A-50bb9f,2024-02-21,2024-02-21,23,high,171,3,f
T-bfa749,A-684255,2023-08-04,2023-08-04,21,low,137,5,f
T-3b24c1,A-0aaf6e,2024-06-09,2024-06-11,22,high,151,3,f
T-68c8a6,A-7c4956,2024-09-23,2024-09-23,24,high,34,,f
T-bccf63,A-82d8a6,2024-11-29,2024-12-01,24,high,67,3,f
T-98448a,A-462d45,2024-02-10,2024-02-10,5,high,99,4,f
T-f68dde,A-118d55,2024-09-08,2024-09-08,19,medium,1,4,f
T-3a2a66,A-e98302,2023-09-15,2023-09-17,12,low,150,,f
T-490c4a,A-503d5a,2023-08-08,2023-08-08,21,urgent,179,,f
T-ec46f5,A-f5641b,2023-04-19,2023-04-21,7,high,93,,f
T-6b6fb7,A-716841,2024-02-11,2024-02-11,16,medium,119,3,f
T-a1d9dd,A-fd7ad3,2024-04-27,2024-04-29,7,urgent,21,3,f
T-121d6f,A-d5a319,2024-09-17,2024-09-17,21,low,132,4,t
T-fd1ba2,A-d27f50,2023-12-15,2023-12-16,21,high,158,4,f
T-b6d7ac,A-a0ca4e,2023-10-29,2023-10-29,10,low,12,5,t
T-f2b9a5,A-f6b2fb,2024-01-19,2024-01-20,16,medium,138,5,t
T-358dd5,A-ced9aa,2023-08-20,2023-08-22,8,medium,131,,f
T-06bf16,A-4a4c2d,2023-08-02,2023-08-03,9,medium,44,4,f
T-f155f0,A-b179bf,2023-08-06,2023-08-06,24,high,156,,f
T-777753,A-ce66f8,2023-01-23,2023-01-25,10,low,74,,f
T-384dcb,A-bc4d48,2024-11-18,2024-11-20,5,urgent,6,5,t
T-857a8d,A-bb3bd4,2024-01-08,2024-01-10,54,medium,52,,f
T-50c7f8,A-a1bbb6,2024-01-18,2024-01-19,9,urgent,47,,f
T-486b6b,A-883b7d,2023-01-28,2023-01-28,48,urgent,102,5,f
T-e5c785,A-b54c01,2023-03-07,2023-03-08,47,medium,41,3,f
T-2c6679,A-0be015,2024-07-16,2024-07-18,54,medium,73,5,f
T-19cc99,A-c16b88,2023-04-28,2023-04-30,11,high,134,,f
T-35fc90,A-e98302,2023-10-23,2023-10-25,12,low,121,,f
T-d4142b,A-700ade,2023-05-25,2023-05-27,8,urgent,69,4,f
T-7c6ab3,A-65a46c,2024-12-23,2024-12-25,51,urgent,96,5,f
T-4f0d98,A-e40f45,2023-03-31,2023-03-31,24,urgent,19,,f
T-e97da3,A-45ce7a,2024-04-04,2024-04-05,14,low,81,,f
T-990a0e,A-fa3095,2024-11-06,2024-11-08,15,high,28,,f
T-bdc72c,A-34d880,2024-11-19,2024-11-21,39,medium,106,3,f
T-f7ec04,A-ad296b,2023-10-18,2023-10-18,51,urgent,74,3,t
T-856d24,A-dbc825,2023-05-05,2023-05-07,42,high,166,,f
T-5fb9f7,A-0f7d77,2023-01-06,2023-01-06,40,medium,88,,f
T-c45238,A-3f9cc0,2024-11-03,2024-11-05,36,medium,139,,f
T-a3f900,A-ae052e,2023-07-22,2023-07-23,10,medium,126,3,f
T-ade86f,A-e3bd71,2024-01-25,2024-01-25,53,low,96,,f
T-0e6db2,A-ccc747,2024-06-27,2024-06-29,12,urgent,169,5,f
T-4c2f4b,A-726cfa,2023-12-02,2023-12-03,24,high,150,,f
T-e7dc15,A-39868b,2024-03-26,2024-03-26,13,medium,137,,f
T-dd45ee,A-8ed5dd,2024-12-09,2024-12-09,35,high,97,3,f
T-03303d,A-87aa7b,2023-11-29,2023-12-01,16,high,7,,t
T-1ed4c4,A-c62e55,2024-03-21,2024-03-21,12,urgent,129,5,f
T-67bfcf,A-3932db,2023-09-01,2023-09-02,20,urgent,144,3,f
T-088eb6,A-ac14bb,2024-03-28,2024-03-28,11,high,23,,f
T-b4bec0,A-117171,2023-08-05,2023-08-06,23,urgent,137,,f
T-03d219,A-ae052e,2024-01-02,2024-01-04,7,urgent,6,,f
T-7c2d38,A-ad3abd,2024-11-03,2024-11-03,20,high,35,,f
T-1112c6,A-de24d5,2023-09-22,2023-09-25,14,urgent,24,3,f
T-938c6d,A-a8d89d,2023-08-19,2023-08-21,22,low,132,,f
T-7d4777,A-66224b,2024-11-20,2024-11-21,6,medium,4,3,f
T-03624c,A-7c6b6b,2024-01-29,2024-01-31,18,low,68,3,f
T-3fab11,A-463db0,2023-03-12,2023-03-14,24,high,123,5,f
T-37f2cf,A-faa28c,2024-05-29,2024-05-30,22,urgent,127,5,t
T-826f63,A-f9cc74,2023-07-23,2023-07-26,15,low,169,,f
T-cbfd6b,A-8b0451,2023-03-15,2023-03-16,5,medium,137,4,f
T-be44ea,A-bc4d48,2024-09-17,2024-09-19,20,medium,19,5,f
T-fcd539,A-7da956,2024-07-12,2024-07-12,17,urgent,97,,f
T-433a53,A-297a2d,2023-02-28,2023-02-28,7,high,160,3,f
T-ced995,A-76fa4d,2024-06-24,2024-06-25,8,urgent,92,,f
T-9398db,A-bbe56f,2024-06-28,2024-06-30,19,low,107,5,f
T-58a90d,A-cb6cc6,2024-11-25,2024-11-26,13,high,170,3,f
T-8833a5,A-a1b80b,2023-12-02,2023-12-03,17,medium,150,4,f
T-ef7c6e,A-f446b6,2024-05-14,2024-05-14,12,high,47,5,f
T-b8ed8f,A-22f2df,2023-01-18,2023-01-18,17,high,99,,f
T-97fa24,A-f51f16,2023-06-16,2023-06-16,6,medium,73,3,f
T-290bd4,A-ccc747,2023-06-02,2023-06-02,23,medium,18,,f
T-a8de52,A-5b4ebb,2024-11-07,2024-11-07,24,medium,128,5,f
T-73259c,A-54ecc2,2023-05-09,2023-05-09,6,medium,59,,f
T-eace7b,A-9c18c4,2023-02-12,2023-02-13,5,low,156,,f
T-9cb671,A-ce550d,2023-06-11,2023-06-13,24,high,73,,f
T-1cbbd0,A-c1dfe1,2024-01-28,2024-01-29,12,urgent,38,4,f
T-78b6e2,A-55f257,2023-09-11,2023-09-12,22,high,45,5,f
T-a941f1,A-a09355,2023-10-20,2023-10-20,12,low,129,5,f
T-667845,A-82861f,2024-09-17,2024-09-17,21,urgent,77,3,f
T-6a2899,A-4437e4,2023-09-12,2023-09-14,23,medium,136,,t
T-365342,A-39868b,2023-04-04,2023-04-05,23,low,146,5,f
T-4be927,A-96bbc6,2023-11-04,2023-11-06,14,low,31,3,f
T-5b7600,A-bd4513,2023-08-28,2023-08-29,5,medium,127,5,f
T-62d8ce,A-50f3f7,2024-09-01,2024-09-02,19,low,165,5,f
T-2a24d4,A-8145a0,2023-08-19,2023-08-19,19,urgent,87,3,f
T-a3d1d0,A-c58f49,2023-08-24,2023-08-25,24,urgent,54,,f
T-ffeda5,A-560d27,2023-11-12,2023-11-13,20,medium,90,,f
T-85af66,A-1f7acb,2024-01-12,2024-01-12,9,medium,165,,f
T-e13c08,A-de58ca,2023-12-28,2023-12-28,24,low,23,,f
T-f365f1,A-9779ad,2024-10-14,2024-10-15,19,medium,161,5,f
T-59d842,A-158f4e,2024-08-05,2024-08-07,7,medium,168,4,f
T-4a12e6,A-d42431,2024-08-07,2024-08-08,8,urgent,108,5,f
T-d3391b,A-cb5333,2023-11-25,2023-11-27,23,low,165,,f
T-ae6671,A-798a3f,2023-07-16,2023-07-18,9,urgent,112,,f
T-1760ba,A-0b0d6d,2023-08-03,2023-08-04,11,medium,1,3,f
T-a231f8,A-76fa4d,2023-04-19,2023-04-19,21,high,177,4,f
T-fe8af7,A-90a8c8,2023-10-13,2023-10-14,17,low,33,3,f
T-167962,A-e3bd71,2023-11-09,2023-11-10,46,high,143,3,f
T-abb562,A-700ade,2023-09-08,2023-09-08,15,low,6,5,f
T-a819c9,A-139c3b,2023-07-11,2023-07-13,11,urgent,38,,f
T-36d4a7,A-902ef7,2024-07-07,2024-07-08,13,urgent,130,,f
T-701980,A-ced9aa,2023-09-15,2023-09-15,17,low,125,3,f
T-5f6c15,A-e43bf7,2024-12-25,2024-12-25,20,medium,26,3,f
T-706693,A-b54c01,2023-12-31,2024-01-01,38,medium,19,3,f
T-027d8f,A-508199,2024-03-23,2024-03-24,7,urgent,27,,f
T-3798d5,A-5ed98d,2024-03-28,2024-03-28,24,medium,56,,f
T-763f2d,A-118f1c,2023-06-22,2023-06-24,10,medium,141,3,f
T-196fca,A-6843f2,2024-04-27,2024-04-29,10,high,22,3,f
T-b2adad,A-54ecc2,2024-10-29,2024-10-31,17,medium,20,5,f
T-37b69f,A-bb1eaa,2024-05-21,2024-05-21,12,urgent,114,4,f
T-f873ff,A-9123ac,2023-04-21,2023-04-22,5,low,73,4,f
T-a427d8,A-4ef964,2023-03-24,2023-03-24,41,high,61,3,f
T-5c2f82,A-1f559b,2023-12-13,2023-12-15,47,urgent,143,4,f
T-f0f18c,A-ed510f,2023-03-31,2023-04-02,24,high,137,,f
T-6807e7,A-a33200,2023-08-23,2023-08-23,53,low,118,4,f
T-a1bab0,A-45ce7a,2023-04-25,2023-04-27,9,medium,141,4,f
T-5daa6c,A-f44180,2024-04-28,2024-04-29,12,low,157,5,f
T-ea0979,A-855a48,2024-06-30,2024-07-01,9,urgent,177,,f
T-308071,A-f51f16,2023-04-16,2023-04-17,23,high,10,3,f
T-ed091b,A-09316c,2023-08-12,2023-08-14,11,medium,129,4,f
T-fd14d8,A-751c58,2023-06-21,2023-06-23,23,medium,178,,f
T-3a3a53,A-139c3b,2024-12-18,2024-12-19,8,medium,89,5,f
T-35ae60,A-7641d3,2023-12-17,2023-12-19,14,medium,174,,f
T-93f5f0,A-3c1a3f,2023-08-04,2023-08-04,9,low,20,,f
T-0a835d,A-0aaf6e,2023-11-06,2023-11-08,15,low,14,,f
T-a79931,A-b179bf,2023-08-23,2023-08-25,5,low,94,4,f
T-54b348,A-50f3f7,2023-05-31,2023-06-02,5,low,41,,f
T-c32093,A-313be3,2023-01-27,2023-01-27,46,urgent,41,,f
T-6de710,A-7da956,2024-02-04,2024-02-05,14,low,55,,f
T-4c7b15,A-443f6f,2023-01-22,2023-01-24,52,low,126,5,f
T-496c6b,A-1e1b80,2024-08-23,2024-08-25,7,low,150,3,f
T-d92e2e,A-712426,2024-07-18,2024-07-20,20,high,67,4,f
T-2a21f8,A-1f7acb,2024-05-30,2024-05-30,5,medium,92,4,f
T-ee77ae,A-8ed5dd,2024-05-17,2024-05-19,40,low,87,,f
T-b0b086,A-bb3bd4,2023-02-18,2023-02-19,52,medium,65,5,f
T-d319e4,A-eb7c38,2024-03-04,2024-03-05,40,low,46,,f
T-c722ef,A-ced9aa,2023-09-17,2023-09-17,24,low,69,,f
T-100066,A-7f6b86,2023-01-11,2023-01-13,21,high,166,,f
T-6f8270,A-dbc825,2023-11-11,2023-11-14,49,high,118,3,f
T-5a402d,A-e7beab,2023-04-25,2023-04-27,19,low,138,3,f
T-287b04,A-92a333,2023-05-07,2023-05-08,10,low,11,,f
T-e545b2,A-dfbd31,2024-01-09,2024-01-10,47,low,158,5,f
T-c2b413,A-90a8c8,2024-03-31,2024-04-02,7,urgent,13,3,f
T-246510,A-bb3bd4,2024-09-29,2024-09-30,40,high,160,5,f
T-011d5c,A-a09355,2023-05-13,2023-05-15,8,urgent,34,3,f
T-af4249,A-dec005,2023-10-02,2023-10-04,22,low,180,3,f
T-dcb2e1,A-34d880,2023-10-10,2023-10-12,54,medium,78,3,f
T-a9333e,A-5ed98d,2024-09-06,2024-09-09,24,medium,77,,f
T-4d5bca,A-970c97,2023-01-29,2023-01-31,19,urgent,139,5,f
T-5a765e,A-3cc791,2024-02-27,2024-02-29,38,high,38,5,f
T-e7f66c,A-241e75,2023-04-25,2023-04-27,17,low,136,,f
T-0e3932,A-118d55,2024-12-09,2024-12-09,8,medium,32,4,f
T-52fd00,A-0532a9,2023-01-29,2023-01-29,18,medium,49,,f
T-d5e01b,A-de24d5,2023-12-29,2023-12-29,21,high,177,,f
T-1bc086,A-00cac8,2023-09-15,2023-09-15,23,urgent,92,,f
T-a1ebca,A-712426,2024-12-10,2024-12-11,13,medium,43,4,f
T-d9e588,A-bbe56f,2024-08-01,2024-08-01,21,low,117,3,f
T-765765,A-4437e4,2023-08-13,2023-08-14,21,high,120,,f
T-848076,A-c42f1f,2023-10-31,2023-10-31,18,low,105,3,f
T-00644f,A-8adedc,2023-05-22,2023-05-24,22,medium,62,,f
T-ec469a,A-e4bf56,2023-07-10,2023-07-12,13,urgent,72,5,f
T-d1c41b,A-98a59a,2023-03-22,2023-03-23,13,high,68,,f
T-367cc3,A-b7b7b7,2024-08-31,2024-08-31,8,medium,159,5,f
T-f86b35,A-139c3b,2024-09-13,2024-09-13,23,urgent,108,,f
T-e23a37,A-855a48,2023-05-11,2023-05-11,15,high,55,,f
T-270c25,A-81edc3,2023-12-19,2023-12-21,11,high,56,,f
T-f3e69b,A-b7ef83,2024-10-03,2024-10-05,7,medium,70,,f
T-2987d9,A-50f3f7,2023-04-17,2023-04-18,16,urgent,155,5,t
T-da63ee,A-149a69,2023-01-30,2023-01-31,6,high,79,5,f
T-44b600,A-eafc6e,2023-07-14,2023-07-16,15,medium,136,,f
T-4d0d5b,A-5a215a,2024-12-06,2024-12-06,21,urgent,126,4,f
T-122749,A-4e960a,2024-01-14,2024-01-15,14,low,77,,f
T-27d61d,A-c7e58b,2024-01-25,2024-01-25,24,medium,171,4,f
T-86e757,A-82d8a6,2023-10-29,2023-10-31,20,high,129,,f
T-13e2c4,A-92a3af,2024-03-17,2024-03-19,19,medium,29,5,f
T-c556c6,A-7c5768,2024-11-21,2024-11-23,13,high,39,4,f
T-fc25d0,A-fd7ad3,2024-08-17,2024-08-19,17,high,138,,f
T-7cca37,A-dbc825,2024-10-02,2024-10-03,53,medium,128,5,t
T-df9759,A-b7724f,2024-12-30,2024-12-30,38,medium,86,3,f
T-7cefd9,A-7920cc,2023-03-31,2023-04-02,18,medium,146,5,f
T-9717fc,A-cea1f0,2024-05-11,2024-05-13,6,medium,145,,f
T-e57828,A-883b7d,2023-04-16,2023-04-17,37,high,52,,f
T-9bbea1,A-b54c01,2023-02-06,2023-02-08,39,low,172,,f
T-4e24d4,A-b3fe05,2023-05-29,2023-05-31,9,urgent,75,,f
T-618d10,A-afa505,2024-09-25,2024-09-25,40,urgent,130,,f
T-9736d7,A-d4e0d4,2023-08-12,2023-08-12,8,medium,66,,f
T-7a48cd,A-4c38bc,2024-07-27,2024-07-29,13,medium,37,4,f
T-8f1182,A-fa3095,2023-05-25,2023-05-27,19,high,98,,f
T-62b1dd,A-a45270,2024-12-27,2024-12-29,53,medium,112,4,f
T-21c5ae,A-9123ac,2024-11-18,2024-11-19,16,urgent,77,4,f
T-7d1efb,A-eb2fdc,2023-12-18,2023-12-19,17,medium,16,,f
T-bad86e,A-7c6b6b,2024-09-10,2024-09-12,8,high,144,,f
T-818ae1,A-6965e1,2024-07-27,2024-07-29,23,low,55,,f
T-e1cf37,A-4c38bc,2023-04-13,2023-04-15,13,high,72,3,f
T-104009,A-fd7ad3,2023-08-21,2023-08-23,24,high,82,,f
T-2b7d40,A-474ad4,2023-04-23,2023-04-25,20,medium,65,,t
T-b4f3d9,A-378b99,2023-08-03,2023-08-03,17,low,101,5,f
T-d6ab6c,A-66224b,2023-12-05,2023-12-05,12,urgent,58,3,f
T-cd4a87,A-798a3f,2023-04-08,2023-04-09,21,urgent,38,3,f
T-3aa54d,A-db5e9e,2024-06-25,2024-06-27,23,low,177,5,f
T-640bda,A-96bbc6,2023-01-07,2023-01-08,22,medium,112,3,f
T-8e435c,A-e1b9cd,2023-06-16,2023-06-17,20,high,115,3,f
T-867910,A-3793ee,2024-06-14,2024-06-16,17,high,11,4,f
T-316da7,A-1ac5e0,2024-01-15,2024-01-16,12,high,44,4,f
T-3517a8,A-702032,2023-07-28,2023-07-30,8,medium,43,,f
T-86c6c6,A-8adedc,2023-08-05,2023-08-07,10,high,22,4,f
T-32b901,A-67be94,2024-11-14,2024-11-16,51,high,1,,f
T-d90ef7,A-e2cd1b,2023-08-17,2023-08-19,10,medium,101,4,f
T-096b66,A-313be3,2023-06-27,2023-06-27,48,urgent,69,,f
T-b6d93a,A-50bb9f,2023-02-24,2023-02-25,6,low,35,,f
T-d5352f,A-c1e51e,2023-01-23,2023-01-25,13,high,148,3,f
T-5f94dd,A-d82ef9,2024-12-31,2024-12-31,6,high,149,4,f
T-d0ff21,A-378b99,2023-07-11,2023-07-12,20,medium,40,5,f
T-1d7cfb,A-05d3b3,2024-08-11,2024-08-11,19,urgent,44,5,f
T-0c378b,A-f03140,2023-12-04,2023-12-05,13,low,169,,f
T-bde8aa,A-781cc0,2024-08-01,2024-08-02,21,high,133,,f
T-bf01b8,A-59f724,2024-06-21,2024-06-21,8,urgent,30,4,f
T-952a1a,A-9bfc9f,2023-06-04,2023-06-06,24,high,168,4,t
T-361edc,A-eb7fac,2023-03-18,2023-03-18,10,low,112,,f
T-2d4793,A-ce550d,2024-02-12,2024-02-12,13,urgent,88,,f
T-9bfb24,A-ad64c6,2024-07-02,2024-07-04,16,high,2,5,f
T-502019,A-4e631b,2024-09-23,2024-09-23,44,low,18,4,f
T-5b0ebb,A-cea1f0,2023-03-22,2023-03-23,18,high,17,,f
T-2e5c7e,A-ff79f2,2024-09-04,2024-09-06,19,low,136,,f
T-ac4493,A-66224b,2023-08-12,2023-08-14,17,medium,172,4,f
T-6f11a3,A-a1b80b,2023-05-13,2023-05-15,5,urgent,18,,f
T-759c6f,A-fb186e,2023-01-11,2023-01-12,52,medium,132,3,f
T-c127ef,A-149a69,2024-10-01,2024-10-02,11,high,170,4,f
T-926f27,A-34d880,2024-10-05,2024-10-07,49,low,127,3,f
T-6db7d8,A-e888d1,2023-12-06,2023-12-07,8,urgent,68,3,f
T-ad4ec7,A-560d27,2024-02-28,2024-02-28,21,low,62,3,f
T-88949f,A-68f37c,2024-10-26,2024-10-27,50,low,173,,f
T-4dd126,A-af0cd2,2024-06-27,2024-06-28,5,medium,123,,f
T-6750a4,A-a33200,2024-03-14,2024-03-15,53,low,101,,f
T-58506b,A-158f4e,2023-12-14,2023-12-14,21,urgent,124,4,f
T-b0acc7,A-1f559b,2023-08-27,2023-08-29,37,medium,126,4,f
T-59d67b,A-86902e,2024-03-21,2024-03-23,11,urgent,17,3,f
T-130a82,A-cb5333,2023-08-22,2023-08-23,19,low,35,3,f
T-66d999,A-b44e3e,2023-06-26,2023-06-27,6,urgent,41,5,f
T-037337,A-378b99,2024-07-11,2024-07-11,15,low,1,,f
T-342b36,A-cc102e,2024-10-17,2024-10-19,21,low,177,5,f
T-9eb2b5,A-dcc3f1,2024-01-16,2024-01-17,12,urgent,144,5,f
T-f3e7c5,A-756192,2023-01-23,2023-01-23,10,urgent,119,5,f
T-116af1,A-dcc2f0,2024-05-08,2024-05-10,8,urgent,93,,f
T-d32d8c,A-c1e51e,2023-01-04,2023-01-05,12,urgent,55,4,f
T-cb9d4b,A-fd7ad3,2023-07-06,2023-07-07,18,medium,144,4,f
T-475284,A-d27f50,2024-04-13,2024-04-13,12,low,99,3,f
T-458e24,A-f25509,2024-03-27,2024-03-27,18,medium,147,4,f
T-c8be02,A-378b99,2023-11-03,2023-11-05,6,medium,115,5,f
T-f3f1b8,A-dbc825,2024-04-11,2024-04-13,44,low,122,,f
T-4a0f02,A-186a44,2023-01-21,2023-01-23,24,urgent,61,,f
T-ef0a78,A-ad296b,2024-09-09,2024-09-10,35,medium,81,3,f
T-11534a,A-524364,2023-03-21,2023-03-23,11,low,110,5,f
T-c0d8b2,A-8b0451,2024-12-01,2024-12-03,11,urgent,23,3,f
T-84717f,A-f19409,2024-11-12,2024-11-12,37,urgent,90,4,f
T-cbc17d,A-7c5768,2024-09-30,2024-09-30,21,medium,62,,f
T-1d4920,A-b7b7b7,2024-05-11,2024-05-11,24,low,101,,f
T-b369df,A-c7e58b,2024-08-13,2024-08-13,20,low,125,3,f
T-29e9b8,A-4a267b,2023-05-17,2023-05-17,24,low,166,5,f
T-96702f,A-9077b0,2023-09-14,2023-09-16,13,high,176,5,f
T-9df3b0,A-eb2fdc,2023-01-23,2023-01-25,19,low,42,4,f
T-a39933,A-ed510f,2023-01-31,2023-02-01,17,urgent,129,5,f
T-7febc0,A-779e4e,2023-01-27,2023-01-28,12,urgent,79,3,f
T-3ec096,A-f97b9a,2023-06-18,2023-06-20,53,high,32,3,f
T-41014e,A-a0ca4e,2024-12-02,2024-12-04,7,high,40,,f
T-5c0331,A-940b8b,2024-10-25,2024-10-26,24,high,47,,f
T-251fda,A-856b1e,2024-09-15,2024-09-15,15,low,123,,f
T-8d3d46,A-30b4ca,2024-09-02,2024-09-04,9,medium,131,,f
T-3367b8,A-ba6516,2023-07-17,2023-07-19,37,low,14,,f
T-429ce6,A-c45b23,2024-05-30,2024-05-30,11,high,55,3,f
T-2b1a0a,A-89ee83,2024-10-05,2024-10-05,51,medium,35,4,t
T-c0ce04,A-94f8c9,2024-08-30,2024-09-01,6,urgent,29,,f
T-864e85,A-9bfc9f,2024-03-01,2024-03-03,22,low,72,3,f
T-5c9e4d,A-c7e58b,2024-12-16,2024-12-18,7,urgent,104,,f
T-af95b8,A-58b9ff,2023-11-30,2023-12-02,22,low,120,4,f
T-3f754a,A-bb3bd4,2024-09-25,2024-09-25,41,urgent,36,5,f
T-367563,A-e61e98,2024-11-23,2024-11-23,38,medium,175,,f
T-7b0fe1,A-716841,2023-04-03,2023-04-04,23,low,176,,f
T-ac5eaa,A-55f257,2023-05-22,2023-05-23,18,urgent,144,5,f
T-f27d8b,A-7920cc,2023-09-30,2023-10-01,24,urgent,113,,f
T-60706c,A-2922b6,2024-10-02,2024-10-03,21,urgent,136,,f
T-ea7839,A-ba6516,2024-03-17,2024-03-18,47,low,58,3,f
